Phase,Overall Accuracy,Class 0 Precision,Class 0 Recall,Class 0 F1-Score,Class 1 Precision,Class 1 Recall,Class 1 F1-Score,Confusion Matrix,AUPRC
Test,85.82556733300135,0.8504011237120205,0.9992135491088736,0.9188209171097395,0.9888697287976171,0.2844388330252063,0.4417985712284634,"[[90208, 71], [15869, 6308]]",0.6309183153518189
Test,88.62844134594864,0.8786143548150681,0.995945901040109,0.9336081489403678,0.9638375654579587,0.4398701357262028,0.604062171032262,"[[89913, 366], [12422, 9755]]",0.7398780423459024
Test,88.76093761115459,0.8808271856851357,0.9945613044008019,0.934245506334053,0.9533269961977187,0.45222527844162874,0.6134507753004863,"[[89788, 491], [12148, 10029]]",0.7585530720261667
Test,85.91893718432098,0.8523475956077243,0.9973748047718739,0.9191757818282045,0.9652288732394366,0.2966587004554268,0.45383368399268786,"[[90042, 237], [15598, 6579]]",0.6384440817516294
Test,88.69780180692894,0.8781898140473706,0.9975852634610485,0.9340877032857617,0.9779864687468444,0.43671371240474366,0.6038029925187033,"[[90061, 218], [12492, 9685]]",0.749264006497034
Test,88.71380806715516,0.877960619257787,0.9981612556630003,0.9342103899065924,0.9830905571966996,0.4351805925057492,0.6033006188660374,"[[90113, 166], [12526, 9651]]",0.7570439432836381
Test,85.90204168741552,0.8517615253003621,0.9980947950243135,0.9191402982638677,0.9742012899355033,0.2928709924696758,0.45035362640410487,"[[90107, 172], [15682, 6495]]",0.6353400591884953
Test,85.8477982499822,0.8501525596112555,0.9999667696806567,0.9189940295316771,0.9995213784301212,0.28249988727059566,0.4404992089998242,"[[90276, 3], [15912, 6265]]",0.6318932364569931
Test,88.25762965070784,0.8736232839525324,0.9981169485705425,0.9317299390455116,0.9817439862542955,0.4122288857825675,0.5806472101368731,"[[90109, 170], [13035, 9142]]",0.7513197947247228
Test,85.84513053994452,0.8503462897526501,0.9996012361678795,0.9189527708193316,0.9943136945190333,0.2838526401226496,0.4416304195313596,"[[90243, 36], [15882, 6295]]",0.6331201351780353
Test,88.6711247065519,0.8765601173305361,0.9996566200334519,0.9340702560599474,0.9967364985787978,0.4269288001082202,0.5978027528728375,"[[90248, 31], [12709, 9468]]",0.7454917255707554
Test,88.7564914277584,0.8821409937093296,0.9925564084670854,0.9340970926414327,0.9382182587110417,0.46016142850701175,0.6174744357717674,"[[89607, 672], [11972, 10205]]",0.7585483183753045
Test,88.35455644874439,0.8799460475923245,0.9900087506507604,0.9317383372426374,0.9171336701883326,0.4501510574018127,0.6038957110882585,"[[89377, 902], [12194, 9983]]",0.7476663737467562
Test,85.87447535035925,0.8508952323453389,0.9991249349239579,0.9190717579030492,0.9877519379844961,0.28727961401451957,0.4451042721905893,"[[90200, 79], [15806, 6371]]",0.673091622359353
Test,88.63466600270328,0.8772367063221636,0.9981058717974279,0.933776172686622,0.9824399260628466,0.4313928845199982,0.5995300015666615,"[[90108, 171], [12610, 9567]]",0.7567199809776444
Test,86.96290104574234,0.8639049837340469,0.9942290012073682,0.9244967220628602,0.939121290021033,0.3624024890652478,0.52298682284041,"[[89758, 521], [14140, 8037]]",0.7234522671020922
Test,85.85046596001992,0.8502227538593401,0.9998892322688554,0.9190022906592008,0.9984089101034208,0.282950804887947,0.4409387955870986,"[[90269, 10], [15902, 6275]]",0.6547908484223792
Test,88.67468165326883,0.8764479139358986,0.999878155495741,0.9341032327496999,0.9988375779351157,0.4262073319204581,0.5974715549936789,"[[90268, 11], [12725, 9452]]",0.7535021439566139
Test,85.84690901330299,0.8504415687235507,0.9994683148905061,0.9189522247909644,0.9924492685228882,0.2844839247869414,0.44220929417536975,"[[90231, 48], [15868, 6309]]",0.635856662534509
